Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,609,687,170845,830148,404690,121422
France,238,280,259731,1386927,222108,189456
Russia,216,261,119508,718532,173513,40636
United States,144,159,213861,832753,238302,226859
United Kingdom,135,150,47193,247874,78409,16590
Italy,136,149,233164,533373,89342,39673
Poland,123,135,50515,309843,88722,25984
Austria,89,105,35329,158909,57923,13352
Spain,73,81,44610,271499,49575,14770
Netherlands,51,57,4298,21590,30387,10729
Australia,48,55,28707,168867,48821,26293
Belgium,43,52,16751,74495,27205,2615
Switzerland,42,48,47927,120191,34419,5051
Canada,39,47,369956,1614258,28957,56774
Sweden,41,47,18860,98839,36101,5599
Finland,38,45,95308,253029,44866,20793
Czech Republic,40,44,52296,181671,49778,20465
Brazil,36,43,27506,119688,28346,7603
Ukraine,34,42,94885,346780,35738,14397
Japan,35,39,121733,500156,49615,71402
Denmark,27,33,13825,76713,15125,33431
Ireland,28,32,49747,199755,47921,9541
Norway,25,32,18883,90274,20799,2482
Portugal,17,25,14774,51127,9964,4066
Belarus,17,24,9505,44125,20689,6628
Croatia,16,23,6955,31344,13743,1060
Uganda,13,22,39119,209071,27914,8649
Greece,18,21,12439,66026,12031,6013
Hungary,18,21,9273,40418,9302,4449
India,16,21,18389,91344,60492,2820
Indonesia,13,21,15508,72872,6861,3997
Mexico,13,21,9313,37827,10772,4362
China,15,17,12592,49439,12171,2839
Rwanda,3,17,1814,3168,693,105
Colombia,11,16,8205,30154,7425,9174
Romania,13,16,9595,28618,8815,3809
Slovakia,11,16,5922,14486,5176,1379
Bulgaria,11,15,6725,35035,5852,1944
Chile,11,14,18825,52790,10053,4256
Argentina,10,13,10954,47701,11211,3455
Bosnia and Herzegovina,8,13,4312,14540,1693,1140
Turkey,9,13,9887,61988,5391,2883
Lithuania,9,12,15535,61329,7266,617
Nepal,5,12,1482,5777,2410,378
New Zealand,7,11,5916,22941,1790,2955
Philippines,8,11,7870,41314,12772,3593
Thailand,8,10,11306,34053,5188,585
Latvia,7,9,4433,15628,3600,770
Luxembourg,6,9,1035,3960,3583,849
Slovenia,7,9,6255,18501,5768,565
Israel,5,8,2648,7697,12569,534
Kyrgyzstan,6,8,19691,65378,16560,1291
South Africa,6,8,17140,39775,6006,388
Uzbekistan,5,8,2443,8159,2512,295
Estonia,4,7,915,2107,561,42
Georgia,4,7,2613,11105,2416,4166
Iran,5,7,8995,34238,6070,1659
Morocco,5,7,10517,49250,10682,1266
Ecuador,4,6,2411,6031,1341,791
Haiti,3,6,718,1413,3007,1064
Kazakhstan,4,6,3028,7263,1974,594
Peru,4,6,4938,13262,5475,8678
Serbia,4,6,1745,3432,616,113
South Korea,5,6,7526,25710,1574,2066
Taiwan,5,6,6550,28540,2142,1495
Tunisia,4,6,4600,20973,3533,628
Venezuela,3,6,1379,4365,753,562
Algeria,3,5,1936,5396,5620,255
Cyprus,2,5,2985,5263,2671,744
Iceland,3,5,2078,6593,2434,180
Kenya,2,5,2797,7494,2944,828
Montenegro,3,5,2773,9795,1355,150
Nicaragua,2,5,1012,1520,336,31
North Korea,2,5,5077,13012,1040,399
Armenia,2,4,3211,11015,2784,7547
Cambodia,2,4,276,758,694,1416
Ghana,3,4,3152,8183,16670,728
Libya,3,4,4054,13233,3262,1675
Madagascar,2,4,3575,12884,472,18
Mali,1,4,368,708,206,115
Qatar,1,4,5183,6553,385,399
Singapore,2,4,5963,6604,601,418
Sudan,2,4,1882,3334,1634,262
Tajikistan,3,4,379,932,415,37
United Arab Emirates,3,4,3253,12211,2976,681
Albania,2,3,2666,8647,1394,4039
Azerbaijan,2,3,1380,3980,463,116
Bolivia,2,3,3440,13668,1576,1058
Dominican Republic,2,3,3054,9574,1523,301
Ethiopia,2,3,691,1661,70,16
Macedonia,2,3,5072,15743,3415,518
Malaysia,3,3,1669,4876,1278,184
Monaco,1,3,314,972,497,135
Saudi Arabia,2,3,1645,3454,1062,89
Senegal,2,3,3690,8482,2395,983
Seychelles,1,3,427,428,124,1
Syria,2,3,1660,5903,679,728
Trinidad and Tobago,1,3,116,168,87,28
Uruguay,2,3,20585,55023,6107,412
Vietnam,1,3,2160,3629,1835,423
Bangladesh,0,2,952,952,12,0
Benin,0,2,995,995,89,7
Costa Rica,1,2,1846,3669,696,73
Egypt,1,2,168,435,504,43
Falkland Islands (Islas Malvinas),0,2,835,1190,145,45
Guadeloupe,1,2,23,46,32,23
Guatemala,1,2,1332,2394,810,126
Guernsey,1,2,45,68,102,19
Hong Kong,1,2,703,2439,376,132
Jersey,1,2,609,1473,6971,214
Lebanon,0,2,26,26,20,13
Malta,1,2,20,28,1156,1087
Moldova,1,2,2989,14912,1415,41
Mongolia,1,2,1120,1140,260,29
Myanmar (Burma),1,2,367,830,967,61
New Caledonia,1,2,444,876,508,13
Nigeria,1,2,1332,2499,1098,384
Oman,1,2,286,336,59,7
Pakistan,1,2,1675,2246,2664,238
Paraguay,1,2,261,363,414,133
Republic of Kosovo,1,2,2281,2373,156,253
Reunion,1,2,505,942,291,123
Sierra Leone,1,2,601,1448,114,211
The Bahamas,1,2,1237,3173,1577,632
United Republic of Tanzania,1,2,1915,5392,1071,194
Vanuatu,1,2,296,730,123,38
West Bank,1,2,1355,3468,1966,394
Western Sahara,1,2,2774,6551,677,47
Yemen,1,2,123,124,79,2
Afghanistan,0,1,0,0,214,0
Andorra,0,1,12,12,34,0
Angola,0,1,12,12,75,93
Antarctica,0,1,89,95,11,9
Bahrain,0,1,28,28,5,0
Belize,0,1,0,0,4,0
Bermuda,0,1,576,576,159,1
Botswana,0,1,0,0,0,1
British Indian Ocean Territory,0,1,0,0,2,1
Brunei,0,1,0,0,1,0
Cameroon,0,1,15,15,10,2
Cape Verde,0,1,95,181,5,0
Caribbean Netherlands,0,1,0,0,1,2
Central African Republic,0,1,922,922,113,9
Chad,0,1,0,0,58,2
Collectivity of Saint Martin,0,1,191,191,145,2392
Congo-Kinshasa,1,1,9690,22274,6278,1489
Cuba,0,1,30,30,1,0
Curaçao,0,1,1,1,8,0
Dominica,1,1,4152,7220,723,102
East Timor,0,1,0,0,1,0
Eritrea,0,1,1630,2887,30,11
Faroe Islands,0,1,1,1,7,4
Fiji,0,1,1378,2356,248,0
French Guiana,0,1,125,125,13,0
French Polynesia,0,1,0,0,1,0
French Southern & Antarctic Lands,0,1,12,12,7,6
Gaza Strip,0,1,146,146,16,10
Gibraltar,0,1,166,255,99,74
Greenland,0,1,422,610,35,1
Guinea,1,1,703,1195,277,39
Guyana,0,1,93,125,38,93
Heard Island and McDonald Islands,0,1,0,0,4,0
Honduras,0,1,3,3,14,0
Iraq,0,1,16,17,96,1
Isle of Man,1,1,227,292,33,3
Jamaica,0,1,761,763,84,0
Johnston Atoll,0,1,134,134,78,1
Jordan,1,1,3,5,9,18
Kuwait,0,1,0,0,6,0
Laos,0,1,8391,8391,29,4
Lesotho,1,1,893,1499,16,1
Liberia,0,1,11,11,0,0
Liechtenstein,0,1,31,59,89,3
Malawi,0,1,5,5,14,0
Maldives,0,1,0,0,5,0
Martinique,1,1,119924,319421,988,2443
Mauritania,1,1,99,140,70,41
Mauritius,0,1,29,29,36,2
Mayotte,0,1,16,16,16,0
Mozambique,0,1,0,0,4,0
Namibia,0,1,1503,1503,67,2
Niger,0,1,0,0,65,0
Panama,1,1,406,575,142,0
